state,date,death,hospitalized,positive
WV,2021-03-02,2301,,132184
WY,2021-03-02,682,1385,54527
AK,2021-03-01,300,1279,56339
AL,2021-03-01,9931,45648,493769
AR,2021-03-01,5250,14763,322509
AS,2021-03-01,0,,0
AZ,2021-03-01,15979,57589,817821
CA,2021-03-01,52194,,3479078
CO,2021-03-01,5952,23550,429839
CT,2021-03-01,7651,,282626
DC,2021-03-01,1019,,40684
DE,2021-03-01,1422,,87080
FL,2021-03-01,31556,80659,1875818
GA,2021-03-01,17376,56089,1008660
GU,2021-03-01,131,,7737
HI,2021-03-01,439,2214,28355
IA,2021-03-01,5472,,280279
ID,2021-03-01,1860,7076,171140
IL,2021-03-01,22759,,1187839
IN,2021-03-01,12595,42815,662213
KS,2021-03-01,4743,9290,294302
KY,2021-03-01,4652,19143,405126
LA,2021-03-01,9628,,430504
MA,2021-03-01,16144,19444,582543
MD,2021-03-01,7879,35069,382702
ME,2021-03-01,703,1529,44762
MI,2021-03-01,16519,,647415
MN,2021-03-01,6486,25727,485230
MO,2021-03-01,7919,,478416
MP,2021-03-01,2,4,143
MS,2021-03-01,6681,9012,294994
MT,2021-03-01,1357,4584,100003
NC,2021-03-01,11254,,862170
ND,2021-03-01,1475,3871,99852
NE,2021-03-01,2082,6106,200946
NH,2021-03-01,1170,1118,75588
NJ,2021-03-01,23273,63777,792496
NM,2021-03-01,3729,13127,185297
NV,2021-03-01,4957,,293980
NY,2021-03-01,38577,,1636680
OH,2021-03-01,17346,50382,968847
OK,2021-03-01,4478,23995,424888
OR,2021-03-01,2208,8570,155597
PA,2021-03-01,24026,,933270
PR,2021-03-01,2037,,100584
RI,2021-03-01,2517,8947,126588
SC,2021-03-01,8562,20406,517976
SD,2021-03-01,1888,6632,112470
TN,2021-03-01,11421,18620,775693
TX,2021-03-01,42995,,2647845
UT,2021-03-01,1940,14724,371492
VA,2021-03-01,8783,24158,577174
VI,2021-03-01,25,,2646
VT,2021-03-01,205,,15284
WA,2021-03-01,4956,19319,339773
WI,2021-03-01,7014,26158,617700
WV,2021-03-01,2300,,132048
WY,2021-03-01,671,1384,54471
AK,2021-02-28,290,1277,55989
AL,2021-02-28,9929,45428,493252
AR,2021-02-28,5243,14763,322415
AS,2021-02-28,0,,0
AZ,2021-02-28,15980,57599,816782
CA,2021-02-28,51979,,3475562
CO,2021-02-28,5951,23476,428303
CT,2021-02-28,7622,,279946
DC,2021-02-28,1017,,40598
DE,2021-02-28,1422,,86799
FL,2021-02-28,31406,80572,1874154
GA,2021-02-28,17295,56039,1006521
GU,2021-02-28,131,,7736
HI,2021-02-28,439,2214,28326
IA,2021-02-28,5471,,280039
ID,2021-02-28,1860,7076,171140
IL,2021-02-28,22735,,1186696
IN,2021-02-28,12573,42775,661673
KS,2021-02-28,4735,9249,293663
KY,2021-02-28,4637,19101,404622
LA,2021-02-28,9608,,430100
MA,2021-02-28,16118,19444,581148
MD,2021-02-28,7869,35000,382099
ME,2021-02-28,703,1527,44634
MI,2021-02-28,16508,,645550
MN,2021-02-28,6483,25719,484594
MO,2021-02-28,7919,,478224
MP,2021-02-28,2,4,143
MS,2021-02-28,6681,9012,294795
MT,2021-02-28,1357,4581,99954
NC,2021-02-28,11212,,858548
ND,2021-02-28,1472,3867,99809
NE,2021-02-28,2082,6102,200848
NH,2021-02-28,1170,1118,75424
NJ,2021-02-28,23252,63713,789356
NM,2021-02-28,3716,13108,185132
NV,2021-02-28,4957,,293754
NY,2021-02-28,38497,,1630445
OH,2021-02-28,17297,50279,967422
OK,2021-02-28,4428,23985,424508
OR,2021-02-28,2208,8570,155315
PA,2021-02-28,24021,,931642
PR,2021-02-28,2036,,100297
RI,2021-02-28,2514,8900,126436
SC,2021-02-28,8530,20387,516823
SD,2021-02-28,1888,6626,112427
TN,2021-02-28,11411,18605,775004
TX,2021-02-28,42936,,2644024
UT,2021-02-28,1935,14695,371235
VA,2021-02-28,8552,24115,576050
VI,2021-02-28,25,,2646
VT,2021-02-28,204,,15198
WA,2021-02-28,4956,19319,339773
WI,2021-02-28,7014,26127,617367
WV,2021-02-28,2300,,131855
WY,2021-02-28,671,1382,54394
AK,2021-02-27,290,1277,55989
AL,2021-02-27,9930,45428,492683
AR,2021-02-27,5417,14763,319195
AS,2021-02-27,0,,0
AZ,2021-02-27,15967,57508,815707
CA,2021-02-27,51821,,3470877
CO,2021-02-27,5945,23459,427462
CT,2021-02-27,7622,,279946
DC,2021-02-27,1010,,40478
DE,2021-02-27,1418,,86517
FL,2021-02-27,31280,80467,1868769
GA,2021-02-27,17294,55963,1004187
GU,2021-02-27,131,,7735
HI,2021-02-27,439,2214,28270
IA,2021-02-27,5470,,279744
ID,2021-02-27,1859,7065,170907
IL,2021-02-27,22710,,1185447
IN,2021-02-27,12556,42736,660942
KS,2021-02-27,4735,9249,293663
KY,2021-02-27,4625,19090,403947
LA,2021-02-27,9587,,428592
MA,2021-02-27,16067,19444,579680
MD,2021-02-27,7856,34927,381272
ME,2021-02-27,702,1525,44492
MI,2021-02-27,16508,,645550
MN,2021-02-27,6475,25714,483790
